date,Wheat,Coffe,Corn
19730820,5.085,0.6735,3.115
19730821,5.285,0.671,3.015
19730822,5.085,0.658,2.915
19730823,5.005,0.6675,2.815
19730824,5.18,0.666,2.9
19730827,5.08,0.659,2.8
19730828,4.889,0.64,2.6785
19730829,5.056,0.6345,2.619
19730830,4.8725,0.6387,2.509
19730831,4.974,0.6402,2.5035
19730904,4.775,0.6432,2.405
19730905,4.575,0.637,2.305
19730906,4.745,0.636,2.37
19730907,4.945,0.638,2.47
19730910,4.985,0.6335,2.44
19730911,5.185,0.6302,2.4875
19730912,4.985,0.6365,2.3875
19730913,5.085,0.645,2.415
19730914,5.25,0.6645,2.4975
19730917,5.36,0.6575,2.5975
19730918,5.16,0.6562,2.4975
19730919,5.31,0.6515,2.495
19730920,5.245,0.648,2.5
19730921,5.07,0.6465,2.485
19730924,5.1,0.657,2.585
19730925,4.995,0.673,2.6025
19730926,4.795,0.684,2.5175
19730927,4.73,0.6855,2.51
19730928,4.915,0.6782,2.5225
19731001,4.715,0.68,2.475
19731002,4.555,0.6847,2.4275
19731003,4.755,0.6845,2.5125
19731004,4.715,0.6812,2.4375
19731005,4.785,0.6822,2.455
19731009,4.955,0.677,2.555
19731010,4.755,0.6795,2.62
19731011,4.73,0.6702,2.635
19731012,4.62,0.6507,2.535
19731015,4.42,0.6415,2.4375
19731016,4.22,0.6433,2.3962
19731017,4.18,0.642,2.4475
19731018,4.365,0.6493,2.46
19731019,4.305,0.652,2.4125
19731023,4.535,0.652,2.395
19731024,4.735,0.6453,2.4475
19731025,4.645,0.6483,2.5025
19731026,4.455,0.6478,2.445
19731029,4.255,0.6438,2.345
19731030,4.195,0.6448,2.36
19731031,4.305,0.6505,2.385
19731101,4.345,0.6544,2.3975
19731102,4.31,0.6475,2.3625
19731105,4.51,0.652,2.3725
19731107,4.495,0.655,2.34
19731108,4.54,0.657,2.3725
19731109,4.425,0.657,2.38
19731112,4.545,0.661,2.48
19731113,4.645,0.657,2.535
19731114,4.845,0.6413,2.5625
19731115,4.645,0.6445,2.555
19731116,4.705,0.647,2.5725
19731119,4.675,0.6503,2.5875
19731120,4.765,0.64,2.6875
19731121,4.735,0.6381,2.7725
19731123,4.795,0.641,2.725
19731126,4.645,0.6275,2.625
19731127,4.763,0.628,2.545
19731128,4.931,0.6344,2.6525
19731129,4.884,0.6498,2.631
19731130,4.7465,0.6534,2.6385
19731203,4.835,0.6618,2.63
19731204,5.035,0.6645,2.7275
19731205,4.97,0.6655,2.6275
19731206,5.15,0.664,2.6825
19731207,5.29,0.6718,2.6825
19731210,5.235,0.685,2.6625
19731211,5.435,0.6735,2.7425
19731212,5.305,0.6739,2.7025
19731213,5.245,0.6698,2.71
19731214,5.11,0.667,2.6813
19731217,5.31,0.6688,2.74
19731218,5.125,0.6693,2.69
19731219,5.19,0.672,2.715
19731220,5.175,0.6728,2.72
19731221,5.215,0.6733,2.7125
19731226,5.075,0.6763,2.6725
19731227,5.175,0.674,2.7025
19731228,5.36,0.6705,2.7125
19731231,5.45,0.674,2.6875
19740102,5.545,0.689,2.735
19740103,5.56,0.688,2.72
19740104,5.555,0.684,2.7325
19740107,5.755,0.6978,2.8125
19740108,5.87,0.692,2.825
19740109,5.67,0.6903,2.7675
19740110,5.83,0.6958,2.865
19740111,5.73,0.7085,2.8475
19740114,5.89,0.7285,2.89
19740115,5.79,0.7195,2.8725
19740116,5.695,0.7238,2.885
19740117,5.66,0.719,2.9175
19740118,5.48,0.718,2.895
19740121,5.68,0.738,2.9275
19740122,5.67,0.731,2.8675
19740123,5.47,0.7225,2.8075
19740124,5.55,0.7405,2.8425
19740125,5.75,0.7485,2.9425
19740128,5.95,0.7425,2.9875
19740129,5.855,0.7373,2.9475
19740130,5.71,0.7328,2.9825
19740131,5.645,0.7265,3.0175
19740201,5.715,0.7333,3.015
19740204,5.515,0.7533,3
19740205,5.605,0.755,2.9875
19740206,5.58,0.7405,2.9625
19740207,5.67,0.75,2.9725
19740208,5.805,0.768,3.0325
19740211,5.915,0.788,3.0675
19740213,5.915,0.768,3.0425
19740214,6.115,0.773,3.0875
19740215,6.315,0.78,3.115
19740219,6.295,0.76,3.205
19740220,6.285,0.7425,3.23
19740221,6.135,0.7625,3.2075
19740222,6.2475,0.7548,3.2875
19740225,6.336,0.7476,3.399
19740226,6.177,0.7625,3.3885
19740227,5.958,0.7442,3.3015
19740228,5.7395,0.7347,3.2145
19740301,5.81,0.737,3.305
19740304,5.77,0.7181,3.205
19740305,5.57,0.7025,3.105
19740306,5.375,0.719,3.0925
19740307,5.515,0.72,3.1475
19740308,5.315,0.7248,3.0475
19740311,5.235,0.7208,2.995
19740312,5.33,0.7208,3.0375
19740313,5.325,0.7233,3.0425
19740314,5.22,0.7393,3.0125
19740315,5.02,0.7363,2.9125
19740318,5.065,0.7433,3.01
19740319,4.95,0.7318,3.0725
19740320,4.805,0.7453,2.9825
19740321,4.77,0.7653,2.9825
19740322,4.895,0.7568,3.0325
19740325,4.75,0.7368,2.9325
19740326,4.915,0.72,2.895
19740327,4.715,0.734,2.825
19740328,4.515,0.7315,2.7875
19740329,4.315,0.749,2.78
19740401,4.145,0.7305,2.68
19740402,3.975,0.7365,2.58
19740403,4.175,0.734,2.675
19740404,4.22,0.7425,2.5775
19740405,4.27,0.726,2.5175
19740408,4.365,0.708,2.54
19740409,4.255,0.712,2.64
19740410,4.275,0.716,2.6725
19740411,4.31,0.714,2.5725
19740415,4.475,0.71,2.6425
19740416,4.35,0.69,2.62
19740417,4.175,0.6993,2.61
19740418,4.115,0.707,2.6225
19740419,4.1175,0.7148,2.675
19740422,4.165,0.719,2.7125
19740423,4.075,0.704,2.7025
19740424,4.095,0.6985,2.7175
19740425,4.27,0.699,2.819
19740426,4.0465,0.7088,2.851
19740429,3.837,0.7162,2.7585
19740430,3.784,0.7246,2.7755
19740501,3.655,0.7455,2.7175
19740502,3.665,0.744,2.705
19740503,3.57,0.7415,2.62
19740506,3.37,0.7215,2.52
19740507,3.405,0.7285,2.5175
19740508,3.52,0.7356,2.58
19740509,3.36,0.7458,2.55
19740510,3.4325,0.7463,2.6125
19740513,3.555,0.7338,2.6525
19740514,3.555,0.7325,2.64
19740515,3.69,0.7125,2.67
19740516,3.705,0.7293,2.71
19740517,3.565,0.7355,2.6975
19740520,3.425,0.7278,2.6025
19740521,3.46,0.7328,2.645
19740522,3.405,0.731,2.615
19740523,3.415,0.7138,2.61
19740524,3.405,0.7243,2.6125
19740528,3.475,0.7165,2.6275
19740529,3.605,0.7255,2.705
19740530,3.575,0.7263,2.6875
19740531,3.525,0.7313,2.66
19740603,3.5175,0.7355,2.6175
19740604,3.575,0.7325,2.6325
19740605,3.74,0.7393,2.7325
19740606,3.595,0.7428,2.7625
19740607,3.655,0.7435,2.775
19740610,3.61,0.7505,2.7725
19740611,3.805,0.7478,2.7675
19740612,3.87,0.7475,2.795
19740613,3.88,0.748,2.79
19740614,3.855,0.7495,2.7525
19740617,4.055,0.737,2.8225
19740618,4.05,0.717,2.8075
19740619,4.25,0.7318,2.8975
19740620,4.43,0.726,2.8675
19740621,4.57,0.7098,2.9425
19740624,4.77,0.6898,3.0425
19740625,4.567,0.6752,2.9175
19740626,4.522,0.6914,2.973
19740627,4.328,0.6868,2.9035
19740628,4.134,0.7054,2.9105
19740701,4.34,0.7075,2.9925
19740702,4.415,0.711,2.955
19740703,4.435,0.723,3.0025
19740705,4.38,0.718,3.0025
19740708,4.58,0.698,3.1025
19740709,4.445,0.69,3.055
19740710,4.37,0.699,2.9775
19740711,4.38,0.719,3.02
19740712,4.45,0.728,3.1075
19740715,4.44,0.726,3.2075
19740716,4.255,0.7292,3.18
19740717,4.23,0.7328,3.1425
19740718,4.43,0.7128,3.2425
19740719,4.415,0.6928,3.3225
19740722,4.46,0.695,3.275
19740723,4.465,0.68,3.3325
19740724,4.615,0.6985,3.4325
19740725,4.63,0.69,3.5325
19740726,4.58,0.697,3.6325
19740729,4.78,0.6908,3.7325
19740730,4.58,0.698,3.695
19740731,4.72,0.6925,3.795
19740801,4.52,0.6725,3.695
19740802,4.32,0.6635,3.595
19740805,4.445,0.649,3.495
19740806,4.535,0.646,3.595
19740807,4.585,0.626,3.695
19740808,4.455,0.625,3.64
19740809,4.285,0.6243,3.54
19740812,4.315,0.6047,3.44
19740813,4.515,0.624,3.54
19740814,4.445,0.604,3.64
19740815,4.295,0.599,3.575
19740816,4.345,0.5935,3.6725
19740819,4.295,0.582,3.6475
19740820,4.225,0.602,3.5475
19740821,4.385,0.622,3.525
